,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
94,La Ronge,12.2,75.0,CA,11/09/2019,56.0,-105.3,55.1,12.2,13.87
95,Antofagasta,60.8,90.0,CL,11/09/2019,77.0,-70.4,-23.65,60.8,13.87
96,Zhigansk,5.67,100.0,RU,11/09/2019,92.0,123.37,66.77,5.67,16.06
97,Bethel,27.46,90.0,US,11/09/2019,92.0,-161.76,60.79,30.2,12.75
98,Souillac,43.05,56.0,FR,11/09/2019,87.0,-0.6,45.6,44.6,6.93
99,Nanortalik,36.81,100.0,GL,11/09/2019,75.0,-45.24,60.14,36.81,51.65
100,East London,65.01,100.0,ZA,11/09/2019,83.0,27.91,-33.02,65.01,13.65
101,Casino,70.03,0.0,AU,11/09/2019,17.0,153.05,-28.86,71.6,8.05
102,Victoria,76.66,75.0,BN,11/09/2019,83.0,115.24,5.28,78.8,2.24
103,Riyadh,71.6,59.0,SA,11/09/2019,46.0,46.72,24.63,71.6,2.24
104,Jalu,73.44,76.0,LY,11/09/2019,25.0,21.55,29.03,73.44,10.71
105,Tortoli,53.96,40.0,IT,11/09/2019,76.0,9.66,39.93,55.4,5.82
106,Lipari,55.38,40.0,IT,11/09/2019,66.0,14.95,38.47,57.2,5.82
107,Chokurdakh,-4.46,100.0,RU,11/09/2019,96.0,147.9,70.62,-4.46,6.2
108,Kez,22.75,100.0,RU,11/09/2019,74.0,53.72,57.9,22.75,2.84
109,Hobart,58.51,40.0,AU,11/09/2019,41.0,147.33,-42.88,60.01,19.46
110,Mandal,27.81,82.0,MN,11/09/2019,81.0,106.5,48.82,27.81,0.89
111,Villa Carlos Paz,73.27,40.0,AR,11/09/2019,69.0,-64.5,-31.42,77.0,4.7
112,Norman Wells,3.2,20.0,CA,11/09/2019,84.0,-126.83,65.28,3.2,3.36
113,Georgetown,82.29,40.0,GY,11/09/2019,79.0,-58.16,6.8,84.2,6.93
114,Great Yarmouth,40.93,73.0,GB,11/09/2019,93.0,1.73,52.61,44.01,3.36
115,Alvorada,73.11,40.0,BR,11/09/2019,88.0,-51.08,-30.0,73.99,5.82
116,Banda Aceh,73.62,65.0,ID,11/09/2019,90.0,95.32,5.56,73.62,2.42
117,Eyrarbakki,41.0,75.0,IS,11/09/2019,97.0,-21.15,63.86,41.0,6.93
118,Ixtapa,86.0,40.0,MX,11/09/2019,84.0,-105.21,20.71,86.0,8.05
119,Komsomolskiy,-5.18,39.0,RU,11/09/2019,100.0,63.78,67.55,-5.18,2.93
120,Port Blair,81.32,80.0,IN,11/09/2019,75.0,92.75,11.67,81.32,1.14
